input_url,video_id,title,license,delivery,variant,codec,width,height,fps,bitrate_kbps,bandwidth_bps,source_url,error
https://vimeo.com/1102056825,1102056825,RAPID REPAIR Facial Moisturizer imsoniamahmoudieh,,hls,3840p,avc1.640034,2160,3840,24,17749,17749000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673317~acl=%2Ff612f453-4845-43f0-a325-32f8e4000293%2Fpsid%3D2dfa5110407894558205d1b860f8498878ec2f8c1779669717%2F%2A~hmac=9452b51d1afebf01cec30dd75bb78022d3d31facf7a2e0960083146f586bba79/f612f453-4845-43f0-a325-32f8e4000293/psid=2dfa5110407894558205d1b860f8498878ec2f8c1779669717/v2/playlist/av/primary/prot/cXNyPTE/playlist.m3u8?omit=opus&pathsig=8c953e4f~njgyyo3-3NsGlP3tp2H4fyAQgu2AhttrO1U_otdDJhE&qsr=1&r=dXM%3D&rh=165Bwk&sf=fmp4,
https://vimeo.com/1114576994,1114576994,RealOptions Obria Medical Clinics - Nancy's Reproductive Loss Healing Story of Hope,,dash,2160p,avc1.640034,3840,2160,,23611,23611000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673131~acl=%2F612c22fe-3959-4824-ac51-62fe21a172c2%2Fpsid%3Dc0d389c56cffe5831ae7d4fd9808eef373a0ae901779669531%2F%2A~hmac=1ce7cbd12ef78aaf42fdef1b6c71ac75460a6bf300b3b14279ddcff4fea4b7d2/612c22fe-3959-4824-ac51-62fe21a172c2/psid=c0d389c56cffe5831ae7d4fd9808eef373a0ae901779669531/v2/playlist/av/primary/sub/250797287-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~rGcY7kytR6G2nYu1Str_fAgVX2FRfhf_qWNjcA8gIbs&qsr=1&r=dXM%3D&rh=2E44Ov,
https://vimeo.com/1115663184,1115663184,Base // L'bel  // Spot,by,dash,2160p,avc1.640034,3840,2160,24,17015,17015000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673153~acl=%2F745cea33-053c-49d7-a87e-378ffd54c105%2Fpsid%3D5313ce4e064e48466a5263fb90c86a66f5ac1e1c1779669553%2F%2A~hmac=71185b6d501d71f268ad0f492c489054029cca33a7d961b4a8465246ab98ac5a/745cea33-053c-49d7-a87e-378ffd54c105/psid=5313ce4e064e48466a5263fb90c86a66f5ac1e1c1779669553/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=es&omit=opus&pathsig=8c953e4f~VE4Gh5efSDRbkggzS2QiMbj4JV6_AtagsETfpsS2FWg&qsr=1&r=dXM%3D&rh=QONHl,
https://vimeo.com/1117476549,1117476549,PGx Testing In a Nutshell,,dash,2160p,avc1.640034,3840,2160,25,10596,10596000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673108~acl=%2Fbc1ab775-fc69-4e66-897e-63e5384d01ea%2Fpsid%3D59e12048b45055bce4daa73761c48d52af617e891779669508%2F%2A~hmac=4d22db0cc779ceee7c3b55ff4aafc62f9b2473e3c859e953a1a0423df9f780c9/bc1ab775-fc69-4e66-897e-63e5384d01ea/psid=59e12048b45055bce4daa73761c48d52af617e891779669508/v2/playlist/av/primary/sub/252653344-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~Q5S-QTzAuFdzHA3BQclDUk8VjyyVP5FIE0nzcWPUX4k&qsr=1&r=dXM%3D&rh=dImBr,
https://vimeo.com/1124876182,1124876182,Clarins ADV 2025,by,dash,2160p,avc1.640034,3840,2160,25,18770,18770000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673157~acl=%2Fa97f4c7c-71cc-46b0-bd8d-9ce08d883b91%2Fpsid%3D828db692ea62c0a7d4baf6c161e2d9678e6b5f321779669557%2F%2A~hmac=c374c7c7a8ffd87dd6b5c80a4f5260744699dc465886091a510ed039a33dbc3b/a97f4c7c-71cc-46b0-bd8d-9ce08d883b91/psid=828db692ea62c0a7d4baf6c161e2d9678e6b5f321779669557/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?omit=opus&pathsig=8c953e4f~8aWrL6Nry1j7XUfKSXfiopsV9BinLnn1NByfChgFPRc&qsr=1&r=dXM%3D&rh=4rpAMg,
https://vimeo.com/1145209824,1145209824,Dr Guide | Reducing Risk for Polypharmacy Patients,,dash,2160p,avc1.640034,3840,2160,25,10879,10879000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673111~acl=%2F357252c0-d14c-4609-8f33-c52e0706df62%2Fpsid%3D7bfde7720b58a16f7ed9caa91326ff380eb9ba111779669511%2F%2A~hmac=896a24b276ed290bd63a2b99ccf55acb80bb26f29d9704dfa8c14d26abf0c0b1/357252c0-d14c-4609-8f33-c52e0706df62/psid=7bfde7720b58a16f7ed9caa91326ff380eb9ba111779669511/v2/playlist/av/primary/sub/271169969-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~hd24G_IccuxHRJqGwu3OXDMOwReJ3NVYKWKVZeMUWqc&qsr=1&r=dXM%3D&rh=3iMJ86,
https://vimeo.com/1145891430,1145891430,"David Ruane, Consumer Director at United Drug",,dash,2160p,avc1.640034,3840,2160,25,17768,17768000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673121~acl=%2Fb05040f5-4bb0-4b4c-877b-362a7293d634%2Fpsid%3D65da0570509300310cbf8a9187232bbfe0f03c371779669521%2F%2A~hmac=0487e42b825988c21dda2e293ac017bc5421572a92a457725bbc912c3e83e9d5/b05040f5-4bb0-4b4c-877b-362a7293d634/psid=65da0570509300310cbf8a9187232bbfe0f03c371779669521/v2/playlist/av/primary/sub/271698398-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~7X8eS64Vs21rKbcDgsWMsCO47CSwZ5qJABT5bf_k4c8&qsr=1&r=dXM%3D&rh=3CGAMO,
https://vimeo.com/1149023888,1149023888,F2 Perfume Video,by,dash,3840p,avc1.640034,2160,3840,25,17721,17721000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673260~acl=%2F3f1cea88-e3be-41a3-a7c3-479974f49653%2Fpsid%3D12a5a412069479f738f9c7f75966c5d3282714cc1779669660%2F%2A~hmac=73929d8c1ba50e458ea51172bc17cc24c812770199587ec239a7f6bf7b65703a/3f1cea88-e3be-41a3-a7c3-479974f49653/psid=12a5a412069479f738f9c7f75966c5d3282714cc1779669660/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=ar&omit=opus&pathsig=8c953e4f~ZeYembk9hkQE4HXwwc2OOrsrzgdCnNNsinqc316bKwA&qsr=1&r=dXM%3D&rh=2Tpr8i,
https://vimeo.com/1177097955,1177097955,Luxury Skincare — 3D Product Animation,,dash,2700p,avc1.640034,2160,2700,24,10461,10461000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673279~acl=%2Ff2b3f3ca-ea5e-4918-8b7a-41ee3ff159ca%2Fpsid%3De4ffa78f50d984b0b84e01037f6a8170308fd09b1779669679%2F%2A~hmac=d75036ea087b82db53ac2bcc70c61709bbc9c82c28af25ac11d4b827e0148bea/f2b3f3ca-ea5e-4918-8b7a-41ee3ff159ca/psid=e4ffa78f50d984b0b84e01037f6a8170308fd09b1779669679/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?omit=opus&pathsig=8c953e4f~H_g9MMF0CUreo8dcQuzxp9F4dNdvsCBHms9NFADAJb0&qsr=1&r=dXM%3D&rh=4lkiX2,
https://vimeo.com/1185327824,1185327824,Vaginal moisturizer,,dash,3810p,avc1.640034,2160,3810,30,16355,16355000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673083~acl=%2F950dee9b-bd3b-4d9d-a2ad-de8257f1fbf5%2Fpsid%3D58d007542dc800885aa36d7f2a8e443f3698ab921779669483%2F%2A~hmac=7183b619c4a37d16009ffc0e0125a9a3c7cfa168cf8820dc203972fdce27d5df/950dee9b-bd3b-4d9d-a2ad-de8257f1fbf5/psid=58d007542dc800885aa36d7f2a8e443f3698ab921779669483/v2/playlist/av/primary/sub/295925316-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~SIdEIQZdnW8hTYXFqPihkjnrVFbjRlmO6E-9WuzhGqk&qsr=1&r=dXM%3D&rh=2vkbFk,
https://vimeo.com/1188164080,1188164080,Meet us at ASHP Midyear!,,dash,2160p,avc1.640034,3840,2160,,18247,18247000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673347~acl=%2Fe3da6d85-51b1-4e6a-98d1-e21a09d4ca21%2Fpsid%3D4080a499f09a6985cfdb684754e80a3e7a1067d71779669747%2F%2A~hmac=38faf7072e2f34ead6f80ee1a4d276b7e58e9af8679abf8d2a5ce3b50d0729c0/e3da6d85-51b1-4e6a-98d1-e21a09d4ca21/psid=4080a499f09a6985cfdb684754e80a3e7a1067d71779669747/v2/playlist/av/primary/sub/297917567-en-x-autogen/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~PY9bvsZmp4ztpmomUXsItvn6n0-lQBa3foe593m9Qdo&qsr=1&r=dXM%3D&rh=43M9Q,
https://vimeo.com/1192825894,1192825894,Why Atmosphera With Music,by,dash,2160p,avc1.640034,3840,2160,,18399,18399000,https://vod-adaptive-ak.vimeocdn.com/exp=1779673177~acl=%2Fea00f216-6ea3-4443-bebf-aa93de5143cd%2Fpsid%3Ddb8a3af14af1ea350c0cac94789e7ff28250b5e81779669577%2F%2A~hmac=bae515b995dd0b277118bbcf429fa7f2c6124c32e173a5106b0d6c3766ff6867/ea00f216-6ea3-4443-bebf-aa93de5143cd/psid=db8a3af14af1ea350c0cac94789e7ff28250b5e81779669577/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en&omit=opus&pathsig=8c953e4f~hnnSoh8lAYaIzVj-tWUsKBvyO94NiDrhNAqIBbmaUug&qsr=1&r=dXM%3D&rh=4Bt9T4,
